Country,Code,Year,Life Ladder,Log GDP Per Capita,Social Support,Health Life Expectancy,Freedom,Generosity,Corruption,Country Code,electricity,Gross savings,Inflation,Primary completion rate,Renewable electricity,Renewable energy consumption,preprimary_education,primary_education,secondary_eductaion,undernourishment,population below poverty line ,drinking water services,Unemployment male rate,Unemployment women rate,Income Classification,Internet services,Life expectancy birth,Population,Rural population,Urban population
Armenia,ARM,2009,4.177581787,9.084740639,0.680006921,64.55999756,0.441412747,-0.215106979,0.881887496,ARM,99.22839355,14.04755692,3.406766827,91.28074342,35.67272086,7.798299789,37.09371185,110.8467789,100.125618,4.6,1.3,98,17.3,19.7,Lower-middle income,15.3,73.118,2888094,36.46,63.54
Azerbaijan,AZE,2009,4.573725224,9.515311241,0.735970318,61.41999817,0.498138398,-0.088785194,0.753849745,AZE,99.86070251,39.80410131,1.45704836,91.77172089,12.24295103,3.268599987,23.53096962,95.068573,85.87845777,12.7760176,4.732528736,85,4.9,6.6,Upper-middle income,27.4,70.597,8947243,46.81,53.19
Bahrain,BHR,2009,5.700523376,10.71381187,0.904143453,64.76000214,0.895931423,0.032867864,0.506103933,BHR,100,28.58593099,2.795512836,91.28074342,0,0,48.60068893,103.8314319,91.98146057,12.7760176,4.732528736,93.46857671,7.874074074,9.485264133,High income,53,75.913,1185075,11.421,88.579
Bangladesh,BGD,2009,5.08285141,8.087361336,0.527813554,60.68000031,0.630931079,-0.088206336,0.776003957,BGD,57.07246017,38.97611857,5.423472362,65.45803833,1.121661242,43.72520065,11.22078991,102.9275665,49.99824142,14.7,4.732528736,96,4.2,7.4,Low income,3.1,69.485,145924795,70.291,29.709
Belarus,BLR,2009,5.56413126,9.681225777,0.907777846,61.74000168,0.679292619,-0.206374764,0.67554307,BLR,100,26.63807587,12.94565634,105.8452225,0.345667632,7.387599945,100.2879105,105.9405212,110.7479019,12.7760176,0,98,7.5,4.6,Upper-middle income,27.43,70.40731707,9506765,25.828,74.172
Bolivia,BOL,2009,6.085579395,8.756053925,0.831319928,61.5,0.778938591,-0.037486225,0.762604535,BOL,86.765597,22.89988728,3.346454201,91.28074342,39.48701193,16.51659966,46.45785904,107.1725998,83.46188354,22.9,10.3,87,2.5,3.6,Lower-middle income,16.8,67.476,9884790,34.016,65.984
Bosnia and Herzegovina,BIH,2009,4.963477135,9.246142387,0.735232174,67,0.257533818,-0.024913777,0.958739877,BIH,100,8.705407175,-0.381464282,91.28074342,39.82001532,17.43420029,62.93905588,103.8314319,85.87845777,12.7760176,4.732528736,97,23.1,25.6,Upper-middle income,37.74,75.844,3735945,54.761,45.239
Brazil,BRA,2009,7.000831604,9.540863991,0.912818074,63.74000168,0.766716063,-0.058288984,0.722514987,BRA,98.856938,16.38036208,4.888034799,91.28074342,88.99577577,49.03850174,56.28174973,131.1651611,96.66548157,4.4,5.4,93.46857671,7.874074074,9.485264133,Upper-middle income,39.22,73.3,193886505,15.956,84.044
Burundi,BDI,2009,3.791680813,6.686863422,0.325692534,50.27999878,0.427355915,-0.017507695,0.718203425,BDI,5.40973711,9.853377868,10.55543553,48.35905838,96.39363748,95.1760025,12.0686903,131.5227356,20.12478065,12.7760176,4.732528736,93.46857671,7.874074074,9.485264133,Low income,0.9,56.488,8397661,89.624,10.376
Cambodia,KHM,2009,4.110625744,7.860245228,0.818258047,58.65999985,0.937233329,0.15098305,0.96477896,KHM,41.61101913,18.80388623,-0.661307602,83.28926849,5.371248025,71.32559967,62.93905588,123.2812271,85.87845777,13.9,4.732528736,64,0.6,0.6,Low income,0.53,66.014,14093605,80.07,19.93
Cameroon,CMR,2009,4.741408348,8.101195335,0.728693902,49.15999985,0.698030412,-0.023992591,0.925447285,CMR,51.63109589,19.32988175,3.043618479,69.69682312,70.67266125,79.09690094,23.84256935,106.266861,40.47853851,9.1,4.732528736,93.46857671,7.874074074,9.485264133,Lower-middle income,3.84,54.627,19789922,49.046,50.954
Canada,CAN,2009,7.48782444,10.69202709,0.94284451,70.73999786,0.915057838,0.242369667,0.412622124,CAN,100,18.52001347,0.299466803,91.28074342,62.85034733,22.5,62.93905588,99.00879669,102.7344437,12.7760176,4.732528736,99,9.5,7,High income,80.3,80.99512195,33628895,19.242,80.758
Chad,TCD,2009,3.639445066,7.369256973,0.645713627,48.22000122,0.401370287,0.019625386,0.931180775,TCD,6.256507397,22.29355488,9.952422907,31.07718086,0,82.20639801,62.93905588,81.97505951,22.99271965,38.4,4.732528736,93.46857671,7.874074074,9.485264133,Low income,1.5,50.346,11560142,78.066,21.934
Chile,CHL,2009,6.493686199,9.916161537,0.831581831,68.31999969,0.746614039,0.143404946,0.734211445,CHL,99.593662,22.88643139,0.353045178,91.28074342,48.8274431,31.52700043,86.41860962,106.5049591,88.97956085,3.6,1.3,98,10,13.4,Upper-middle income,41.56,78.558,16886184,12.983,87.017
China,CHN,2009,4.454360962,8.995828629,0.79803437,66.44000244,0.771143258,-0.163263753,0.750439852,CHN,99.18741608,50.37304063,-0.728165251,98.29463196,17.8637982,13.43190002,50.15158081,100.0061035,85.45140839,2.8,4.732528736,93.46857671,7.874074074,9.485264133,Lower-middle income,28.9,74.119,1331260000,52.12,47.88
Colombia,COL,2009,6.271604538,9.350772858,0.885926604,66.98000336,0.757100701,-0.057831209,0.837143481,COL,96.057229,18.5697118,4.201044769,117.8619308,72.87791562,30.91049957,55.8132782,124.5789108,95.26943207,12.2,9,95,9,14.5,Upper-middle income,30,75.193,44750054,22.413,77.587
Comoros,COM,2009,3.47602725,7.998597145,0.629426777,56.75999832,0.507845283,-0.078846201,0.838115692,COM,60.2865715,13.87334782,4.362348293,91.28074342,0,49.07500076,62.93905588,103.8314319,85.87845777,12.7760176,4.732528736,93.46857671,7.874074074,9.485264133,Low income,3.5,61.475,673251,72.079,27.921
Costa Rica,CRI,2009,7.614928722,9.681844711,0.899781644,69.04000092,0.886061072,0.05889079,0.786559105,CRI,99.409804,15.78180492,7.842701677,97.94898987,95.15574651,40.71640015,77.4598999,116.9517517,98.09201813,4,2.4,98,6.6,9.6,Upper-middle income,34.33,78.626,4520739,29.425,70.575
Croatia,HRV,2009,5.433319569,10.12016106,0.860663235,67.18000031,0.549258351,-0.275568962,0.958130538,HRV,100,18.46142899,2.378528459,93.59108734,56.00598355,27.17810059,58.91685104,91.78289032,99.84745789,12.7760176,0.9,93.46857671,7.9,10.7,High income,50.58,76.16829268,4305181,45.013,54.987
Cyprus,CYP,2009,6.833477497,10.5595274,0.811736107,70.63999939,0.774590671,0.050066553,0.801423609,CYP,100,16.18284778,0.326276652,103.160408,0.594439118,6.343800068,80.51357269,105.3647614,98.38755798,6.3,0.1,100,5.3,5.5,High income,49.81,79.245,1098089,32.305,67.695
Denmark,DNK,2009,7.683358669,10.82205677,0.93889159,69.18000031,0.949335575,0.259391248,0.205769762,DNK,100,22.56653567,1.30470991,97.97302246,27.65852184,19.31889915,96.52529144,99.56536865,117.9756165,12.7760176,0.5,100,7.1,5.7,High income,86.84,78.59756098,5523095,13.346,86.654
Dominican Republic,DOM,2009,5.431613922,9.3805933,0.87816149,64.63999939,0.862979472,-0.055421017,0.805910408,DOM,97.85776,18.16965988,1.442151318,93.84940338,13.04656445,17.43239975,40.05115891,111.8576965,80.90466309,14.6,3.2,93.46857671,7.874074074,9.485264133,Upper-middle income,27.72,71.806,9576736,27.458,72.542
Ecuador,ECU,2009,6.021803379,9.227261543,0.779397964,65.45999908,0.736880839,-0.111215539,0.774304509,ECU,96.470862,26.35347983,5.159968292,97.2144928,50.84818784,12.87450027,45.36635971,112.23349,88.64425659,16,7.3,93.46857671,7.874074074,9.485264133,Lower-middle income,24.6,74.895,14774412,37.505,62.495
Egypt,EGY,2009,5.066164494,9.161022186,0.744179964,61.63999939,0.611082554,-0.098760217,0.80086565,EGY,98.86990356,16.83984206,11.76349544,93.51345825,10.06906475,5.672200203,23.13364983,101.3825684,67.15641022,5.5,4.732528736,99,5,22.4,Lower-middle income,20,70.159,81134789,56.961,43.039
El Salvador,SLV,2009,6.839087009,8.893871307,0.734112799,64.58000183,0.670932412,-0.106926143,0.647527635,SLV,91.08402,12.28125593,1.055950297,97.4621582,56.30179558,32.1996994,57.94084167,114.7488174,67.33891296,10.5,6.8,88,9,4.9,Lower-middle income,12.11,70.978,6157678,35.43,64.57
Estonia,EST,2009,5.137738705,10.140028,0.873774767,66.62000275,0.61070931,-0.233255565,0.793151677,EST,100,23.63553454,-0.078408311,98.74658966,6.162433079,24.07559967,95.39601898,103.0611725,102.7376175,12.7760176,0.6,100,16.7,10.3,High income,72.5,74.82439024,1334515,31.777,68.223
France,FRA,2009,6.283498287,10.63450909,0.918158531,71.09999847,0.798213184,-0.085721143,0.654168189,FRA,100,20.96452145,0.087620478,91.28074342,13.12716357,11.31659985,107.460022,103.0411377,106.2392273,12.7760176,0,100,8.7,8.8,High income,71.58,81.41463415,64707035,21.883,78.117
Georgia,GEO,2009,3.800639153,9.115746498,0.54351306,63.59999847,0.495314002,-0.235442042,0.534585297,GEO,100,0.657074046,1.727514611,105.0745087,86.6090208,36.71849823,62.93905588,103.6957016,95.13452148,3.7,10.1,95,22.1,19.1,Lower-middle income,20.07,71.18,3814419,44.85,55.15
Germany,DEU,2009,6.64149332,10.71540546,0.934782326,69.98000336,0.843784511,0.122891895,0.689930737,DEU,100,24.39118781,0.31273763,102.3837967,16.07855368,10.71700001,62.93905588,103.3964233,103.1582489,12.7760176,0,100,8.1,7.3,High income,79,79.83658537,81902307,23.229,76.771
Ghana,GHA,2009,4.197695732,8.167292595,0.633197725,53.86000061,0.75747776,0.003547517,0.889738321,GHA,60.99259567,11.03639073,19.25071443,81.27578735,76.76936816,51.90340042,118.4189072,100.2911301,48.80281067,6.7,4.732528736,93.46857671,7.874074074,9.485264133,Low income,5.44,60.645,24170943,49.969,50.031
Greece,GRC,2009,6.038574696,10.48268032,0.793317616,69.91999817,0.443107843,-0.296518505,0.958768308,GRC,100,5.927293118,1.210084518,91.28074342,13.39738763,9.190799713,62.93905588,103.8314319,85.87845777,12.7760176,0.6,100,7,13.3,High income,42.4,80.18780488,11107017,24.068,75.932
Guatemala,GTM,2009,6.451916218,8.890479088,0.833815634,59.81999969,0.643478751,0.193860427,0.754889369,GTM,83.08351135,12.79921006,1.859102547,81.62690735,49.11020228,65.34909821,73.48921204,115.7610092,47.51139069,17.7,4.732528736,93.46857671,7.874074074,9.485264133,Lower-middle income,9.3,71.108,14000190,51.896,48.104
Honduras,HND,2009,6.033189297,8.458436012,0.823966086,62.5,0.661202788,0.117380597,0.856734335,HND,78.269685,18.85922371,5.496342738,81.09689331,44.75471698,51.26720047,37.30968857,99.79480743,85.87845777,18.3,14.2,93.46857671,7.874074074,9.485264133,Lower-middle income,9.8,73.061,8150780,48.775,51.225
Hong Kong,HKG,2009,5.397055626,10.78847027,0.834715724,63.08116208,0.918026328,0.303338408,0.272124708,HKG,100,31.7309269,0.576519916,91.28074342,0.002581844,0.140699998,62.93905588,103.8314319,86.90379333,12.7760176,4.732528736,93.46857671,7.874074074,9.485264133,High income,69.4,82.77560976,6972800,0,100
Hungary,HUN,2009,4.894600391,10.09254742,0.900874496,65.63999939,0.464373112,-0.128532365,0.914700747,HUN,100,19.55510895,4.211711712,96.79566193,8.062270246,12.2901001,84.56419373,101.0737686,96.24977112,12.7760176,0.1,100,10.3,9.7,High income,62,73.90487805,10022650,31.54,68.46
India,IND,2009,4.521517754,8.278234482,0.652852058,56.93999863,0.678643644,-0.027893195,0.894611061,IND,75,35.61743864,10.88235294,95.74629211,15.66005525,42.10749817,62.93905588,109.4510727,59.61365128,16.3,32.8,93.46857671,7.874074074,9.485264133,Lower-middle income,5.12,66.244,1217726217,69.413,30.587
Indonesia,IDN,2009,5.472361088,8.965565681,0.779368043,60.97999954,0.783792853,0.188714415,0.910941303,IDN,93.55,29.0563768,4.38641555,98.54908752,13.2330616,38.1792984,45.49848938,108.5492401,74.6276474,15.5,15.5,93.46857671,7.874074074,9.485264133,Lower-middle income,6.92,68.853,238620554,50.866,49.134
Iraq,IRQ,2009,4.775316715,8.978890419,0.861746132,60.91999817,0.431467623,-0.195242137,0.854340255,IRQ,98.09731293,27.67255995,6.873615472,91.28074342,8.526435385,1.208699942,62.93905588,103.8314319,85.87845777,27.9,4.732528736,93.46857671,7.874074074,9.485264133,Lower-middle income,1.06,68.34,28973157,31.02,68.98
Ireland,IRL,2009,7.045911312,10.87621307,0.958702445,69.98000336,0.834729671,0.310157329,0.579600155,IRL,100,15.42741523,-4.478103392,91.28074342,14.69346877,5.224699974,62.93905588,102.7959671,114.392662,12.7760176,0.4,97,15.1,9.5,High income,67.38,80.1902439,4535375,38.658,61.342
Israel,ISR,2009,7.352979183,10.39918137,0.936573029,71.31999969,0.592529774,0.169523984,0.922718406,ISR,100,22.05864752,3.340312143,104.5845566,0.179973822,8.46380043,106.8449936,104.0737534,103.175209,12.7760176,4.732528736,100,9.8,9.2,High income,63.12,81.40487805,7485600,8.237,91.763
Italy,ITA,2009,6.333800316,10.64720726,0.880312502,71,0.700550497,0.236602083,0.889984667,ITA,100,17.62350309,0.774768131,103.6031876,24.01893631,12.53929996,98.36865234,103.4859009,101.4165497,12.7760176,0.9,93.46857671,7.874074074,9.485264133,High income,48.83,81.63658537,59095365,31.791,68.209
Ivory Coast,CIV,2009,4.197181702,8.163739204,0.667008698,48.90000153,0.759862185,-0.152185246,0.902262032,CIV,57.31427383,15.36975659,1.019504577,45.82094955,37.5234202,73.56809998,3.441080093,71.83100128,85.87845777,22.3,4.732528736,93.46857671,7.874074074,9.485264133,Lower-middle income,2,52.313,20059147,53.09,46.91
Japan,JPN,2009,5.844999313,10.50719833,0.888356864,72.87999725,0.729888022,-0.215131104,0.740108192,JPN,100,24.08195648,-1.35283673,91.28074342,9.145716508,4.512800217,62.93905588,103.8314319,85.87845777,2.6,4.732528736,99,5.3,4.8,High income,78,82.93146341,128047000,10.011,89.989
Jordan,JOR,2009,5.999859333,9.380613327,0.899033546,66.51999664,0.770953655,-0.080812223,0.739464462,JOR,99.4,27.46716575,-0.739069743,91.28074342,0.483464126,2.797600031,62.93905588,103.8314319,85.87845777,6.9,4.732528736,99,10.3,24.1,Lower-middle income,26,73.266,6893258,15.072,84.928
Kazakhstan,KAZ,2009,5.382563114,9.884036064,0.892997801,59.79999924,0.856448293,-0.253012896,0.844568431,KAZ,100,29.41296514,7.316078583,104.1133118,8.739677296,1.305400014,38.32595062,108.3263016,85.87845777,3.9,0.1,93,5.6,7.5,Upper-middle income,18.2,68.39,16092822,43.245,56.755
Kenya,KEN,2009,4.270434856,8.176388741,0.789220333,52.97999954,0.583594739,0.089048289,0.912946522,KEN,23,14.51429119,9.234125924,91.28074342,55.29151292,78.35040283,49.81726837,103.9144974,56.76036835,24.1,4.732528736,54,9.9,9.4,Low income,6.1,59.932,40901798,76.817,23.183
Kuwait,KWT,2009,6.585246086,11.07393646,0.926411927,69,0.818781018,0.001588091,0.675121784,KWT,100,42.92569019,4.609595484,91.28074342,0,0,62.93905588,101.5350876,97.71626282,12.7760176,4.732528736,100,1,3.4,High income,50.8,74.162,2821041,0,100
Kyrgyzstan,KGZ,2009,5.06905365,8.345366478,0.854935646,61.18000031,0.698919952,-0.14207527,0.896227479,KGZ,99.5,25.1569583,6.836562481,98.01081085,92.18623116,24.72710037,18.43778992,98.9442215,86.83522034,9,1.4,93.46857671,7.874074074,9.485264133,Low income,16,69.10243902,5383300,64.716,35.284
Latvia,LVA,2009,4.668910503,9.985266685,0.806939304,64,0.437064558,-0.184679851,0.942090392,LVA,100,30.59845517,3.534106729,101.090271,63.85347459,38.39799881,87.45211792,102.9180984,99.42040253,12.7760176,1.7,98,20.9,14.1,High income,66.84,73.0804878,2141669,32.186,67.814
Lebanon,LBN,2009,5.205998898,9.796974182,0.736411929,65.33999634,0.664733827,0.06963098,0.937024593,LBN,99.80111694,7.438543391,1.195096712,91.28074342,4.516738073,4.308100224,62.93905588,103.8314319,85.87845777,9.6,4.732528736,89,5,10.4,Upper-middle income,30.14,78.161,4813026,12.813,87.187
Lithuania,LTU,2009,5.466920853,10.04607391,0.932608962,64.09999847,0.495955795,-0.306610018,0.978800118,LTU,100,14.7275673,4.453044565,99.07627106,4.67117394,20.08839989,79.43164825,99.9498291,104.7558823,12.7760176,2.2,94,17.1,10.5,Upper-middle income,59.76,72.91463415,3162916,33.158,66.842
Luxembourg,LUX,2009,6.957920074,11.62830639,0.938559353,70.30000305,0.939101696,0.117261507,0.431606978,LUX,100,15.61043866,0.368041998,91.28074342,8.470812183,3.731400013,62.93905588,103.8314319,85.87845777,12.7760176,0,100,4.4,6.1,High income,87.31,80.63658537,497783,11.822,88.178
Malawi,MWI,2009,5.148239613,7.176107883,0.71845001,48.54000092,0.879161239,0.15050742,0.68892628,MWI,8.292198181,22.29355488,8.422044277,66.76925659,90.68945652,80.00769806,62.93905588,131.9591217,32.72994995,17.5,4.732528736,93.46857671,7.874074074,9.485264133,Low income,1.07,53.888,14128161,84.571,15.429
Malaysia,MYS,2009,5.384701729,9.858006477,0.791666389,65.31999969,0.874319792,-0.010948431,0.858095229,MYS,99.3,33.36344397,0.583308406,99.55062103,7.005853297,2.265599966,76.90991974,98.65876007,76.12432098,3.5,4.732528736,97,7.874074074,9.485264133,Upper-middle income,55.9,74.305,27735038,29.925,70.075
Mali,MLI,2009,3.976598501,7.590881824,0.732557058,50.95999908,0.633815944,0.008913196,0.819207728,MLI,24.03089583,15.18952219,2.463751886,54.47351837,72.46085602,78.68409729,3.184950113,82.71041107,36.67198944,7.5,50.3,93.46857671,7.874074074,9.485264133,Low income,1.8,54.756,14581427,64.8,35.2
Malta,MLT,2009,6.32763958,10.3526926,0.91577214,70.22000122,0.803179801,0.458152503,0.750439852,MLT,100,15.3432839,2.084327461,95.12615967,0,0.256399989,106.6358795,96.80634308,85.87845777,12.7760176,0.4,100,6.5,7.6,High income,58.86,80.24146341,412477,5.999,94.001
Mauritania,MRT,2009,4.500431538,8.473753929,0.819333792,57.09999847,0.735071182,0.036841791,0.848293781,MRT,31.10423851,22.29355488,2.220920324,69.21951294,0,33.42559814,62.93905588,98.58065796,20.48880959,7.2,4.732528736,93.46857671,7.874074074,9.485264133,Low income,2.28,62.266,3393408,54.314,45.686
Mexico,MEX,2009,6.962819099,9.763516426,0.868220747,64.95999908,0.682463408,-0.080140606,0.764225543,MEX,98.409729,22.98212165,5.297355842,99.8245163,12.94733225,9.169199944,102.4519424,110.5452805,85.93801117,4.8,4.732528736,95,5.4,5.4,Upper-middle income,26.34,75.128,112463886,22.48,77.52
Moldova,MDA,2009,5.554374218,8.983812332,0.855883062,60.61999893,0.550858617,-0.101425,0.925061643,MDA,100,14.05521662,-0.062718597,92.81584167,5.776056793,4.843900204,74.36624146,93.57756042,88.59664154,12.7760176,1,86,7.8,4.9,Lower-middle income,27.5,69.119,2864346,57.349,42.651
Montenegro,MNE,2009,4.8010602,9.702045441,0.81598419,66.12000275,0.55636555,-0.104888737,0.838485658,MNE,100,-0.75975732,3.466723732,91.28074342,75.03623188,49.16460037,30.37365913,115.8393707,97.51123047,12.7760176,4.732528736,96,18,20.4,Upper-middle income,35.1,74.784,618294,36.192,63.808
Nepal,NPL,2009,4.91686821,7.852507114,0.813067853,59.84000015,0.616153777,0.032517023,0.949701965,NPL,60.86761093,37.24818062,11.09482374,91.28074342,99.58266453,88.93430328,68.81537628,137.6799164,51.79061127,11.6,4.732528736,93.46857671,7.874074074,9.485264133,Low income,1.97,67.178,26883531,83.566,16.434
Nicaragua,NIC,2009,5.352804661,8.402441025,0.834688067,64.59999847,0.746065021,0.068297677,0.794486761,NIC,77.916313,14.63517723,3.687001605,91.28074342,30.90066609,54.55979919,62.93905588,103.8314319,85.87845777,20.9,7.4,81,7.874074074,9.485264133,Lower-middle income,7.3,72.167,5745538,43.279,56.721
Niger,NER,2009,4.267169952,6.887199402,0.771265149,51.45999908,0.880042136,-0.008824375,0.483152986,NER,12.34327698,16.47037654,0.582906591,39.65544128,1.167315175,83.25350189,2.932810068,59.01190186,11.43198967,12.7760176,4.732528736,93.46857671,7.874074074,9.485264133,Low income,0.76,56.557,15843131,83.775,16.225
Nigeria,NGA,2009,4.980220318,8.438661575,0.72208178,51.18000031,0.53672111,0.066227272,0.913195729,NGA,50.14577866,24.89657023,12.55496039,73.80319977,22.90033878,88.7492981,40.60916901,85.38784027,39.23279953,7.3,56.4,93.46857671,7.874074074,9.485264133,Lower-middle income,9.3,50.422,154324939,57.412,42.588
North Macedonia,MKD,2009,4.428021908,9.480810165,0.734430969,64.81999969,0.552173734,-0.046418175,0.843915761,MKD,99.2,20.41049946,-0.739633963,91.70715332,18.59988284,18.47340012,23.14176941,87.47355652,81.01088715,3.1,9.8,97,31.8,32.8,Upper-middle income,51.77,74.484,2069030,42.883,57.117
Pakistan,PAK,2009,5.208146572,8.315033913,0.521746695,54.24000168,0.387697667,0.072141893,0.873649061,PAK,70.7530899,15.05763962,13.64776506,59.39558029,29.46086811,46.42620087,73.00778198,83.89859772,32.85655975,15.9,4.732528736,89,0.6,0.4,Lower-middle income,7.5,64.969,175525610,65.207,34.793
Panama,PAN,2009,7.033740044,9.934996605,0.905028522,67.33999634,0.721393645,0.010465849,0.889423907,PAN,87.41181183,27.20501506,2.409053041,97.70272827,56.68835864,20.36849976,64.00640869,105.7311096,69.99185181,12.9,3.2,92,5.1,8.9,Upper-middle income,39.08,76.6,3579215,35.149,64.851
Paraguay,PRY,2009,5.576147079,9.237194061,0.900353849,65.12000275,0.717870176,0.018732274,0.857340276,PRY,96.891335,21.76487897,2.591946734,93.14137268,100,66.3789978,38.69657135,102.9180908,66.7854538,9.2,5.4,89,4.7,6.7,Lower-middle income,18.9,72.45,6163970,41.063,58.937
Peru,PER,2009,5.518846989,9.137562752,0.79869628,67.23999786,0.638375103,-0.081504524,0.880333722,PER,86.42432,20.92044192,2.936231536,99.36102295,60.59096845,32.91680145,77.66918182,110.1658401,90.83499908,9.8,7.1,93.46857671,7.874074074,9.485264133,Upper-middle income,31.4,74.12,28792663,23.759,76.241
Philippines,PHL,2009,4.879910946,8.62594986,0.775170922,61.54000092,0.87360549,0.001656797,0.804578125,PHL,84.3,37.94030102,4.219030521,91.51911926,32.58506807,31.22660065,53.49489975,107.7615814,84.11602783,12.8,10.7,90,3.7,4.1,Lower-middle income,9,69.667,92414161,54.629,45.371
Poland,POL,2009,5.772027493,10.04115105,0.916798174,66.91999817,0.820649087,0.069927923,0.897762001,POL,100,16.23623338,3.795392425,92.85269165,5.742418327,8.842499733,64.43067932,95.52590942,96.24035645,12.7760176,0.3,98,7.8,8.7,High income,58.97,75.69512195,38151603,38.996,61.004
Qatar,QAT,2009,6.417824268,11.43442631,0.894493103,64.36000061,0.864991903,0.231569901,0.183798134,QAT,100,22.29355488,-4.863278016,101.8712234,0,0,55.05455017,105.0968475,85.87845777,12.7760176,4.732528736,100,0.1,1.9,High income,53.1,78.945,1654944,1.664,98.336
Romania,ROU,2009,5.367565155,9.958084106,0.812449574,65.22000122,0.60582763,-0.200456828,0.96679461,ROU,100,22.52513962,5.587420043,94.72460938,26.93579952,22.1833992,79.18115997,99.84014893,95.29490662,12.7760176,2.8,100,7.7,5.8,Upper-middle income,36.6,73.3097561,20367487,46.302,53.698
Russia,RUS,2009,5.158227921,10.04062366,0.908075571,60.06000137,0.61711514,-0.28683272,0.953601718,RUS,100,20.87620377,11.64732958,98.38200378,17.64404648,3.598799944,75.66240692,99.36152649,84.7716217,12.7760176,0.1,96,8.9,7.7,Upper-middle income,29,68.68463415,142785349,26.358,73.642
Rwanda,RWA,2009,4.029761791,7.24676609,0.559390426,55.29999924,0.765569031,-0.000175565,0.409702867,RWA,14.32210445,22.29355488,12.94439784,69.37140656,39.97584541,90.54309845,17.67116928,149.2713623,26.14971924,29.8,4.732528736,93.46857671,7.874074074,9.485264133,Low income,7.7,62.129,9782770,83.07,16.93
Saudi Arabia,SAU,2009,6.14759016,10.60560417,0.921288133,62,0.639405668,-0.109221876,0.44513157,SAU,100,36.59862149,5.057223147,91.28074342,0,0.007,11.34587002,104.6694183,94.78735352,5.7,4.732528736,99,3.5,15.9,High income,38,73.75,26630303,18.133,81.867
Senegal,SEN,2009,4.335114002,7.941846371,0.810355306,56.40000153,0.556838155,-0.040477317,0.918035448,SEN,53.5,14.98363362,-2.248021479,57.89511108,10.21693492,51.96250153,11.26414013,83.89463043,85.87845777,10.3,4.732528736,93.46857671,7.874074074,9.485264133,Lower-middle income,7.5,63.607,12335092,56.641,43.359
Serbia,SRB,2009,4.380311966,9.571536064,0.770126104,65.55999756,0.372881293,-0.181181699,0.960977912,SRB,100,14.72752356,8.116950922,96.41523743,27.94612795,20.82299995,51.3384819,97.68579865,91.48445892,12.7760176,4.732528736,91,14.8,17.9,Upper-middle income,38.1,73.98536585,7320807,45.228,54.772
Singapore,SGP,2009,6.144676685,11.14808178,0.866255283,72.12000275,0.77638185,-0.07949429,0.035197988,SGP,100,43.86312579,0.596720257,91.28074342,1.298260089,0.475199997,62.93905588,103.8314319,85.87845777,12.7760176,4.732528736,100,5.4,6.5,High income,69,81.24146341,4987573,0,100
Slovenia,SVN,2009,5.830160618,10.40584469,0.918696642,69.04000092,0.895956635,-0.022595,0.803634167,SVN,100,22.38350578,0.839262247,96.05603027,29.9152594,19.02910042,86.96848297,99.13549042,98.74992371,12.7760176,0,100,5.9,5.8,High income,64,78.97073171,2039669,47.567,52.433
South Africa,ZAF,2009,5.218430996,9.490159035,0.87735945,48.70000076,0.739409983,-0.16248098,0.904342353,ZAF,82.6,17.48092258,7.264562145,91.28074342,0.693636935,10.98750019,62.93905588,106.3416977,92.51190186,3.6,4.732528736,89,21.9,25.5,Upper-middle income,10,56.46,50477013,38.313,61.687
South Korea,KOR,2009,5.647689819,10.38480091,0.810902715,70.68000031,0.600165665,-0.099825382,0.787497342,KOR,100,33.28145476,2.756686477,101.6233521,1.037690734,1.206900001,62.93905588,102.0039825,95.97579193,12.7760176,4.732528736,99,4.1,3,High income,81.6,79.96829268,49307835,18.165,81.835
Spain,ESP,2009,6.198601246,10.52968407,0.92945385,70.87999725,0.748514712,-0.131239772,0.797704637,ESP,100,19.21908927,-0.287996835,97.47839355,25.38124981,12.23130035,62.93905588,104.5888824,115.0287933,12.7760176,0.8,100,17.6,18.1,High income,62.4,81.47560976,46362946,21.79,78.21
Sri Lanka,LKA,2009,4.212026596,9.082519531,0.829611897,63.72000122,0.798871219,0.300777614,0.689926445,LKA,87.09,23.92987667,3.464963221,92.36515808,39.29501302,63.51380157,62.93905588,94.90720367,85.87845777,11.4,2.8,86,4.3,8.6,Lower-middle income,43.1947021,75.286,20123508,81.758,18.242
Palestine,PSE,2009,4.470191479,8.336611748,0.738076687,62.13249969,0.467811942,-0.08814583,0.797354221,PSE,97.76,8.098425882,2.753934851,89.84792328,0,16.54089928,40.13531113,89.61544037,87.52098846,12.7760176,0.3,94,20.5,20.1,Lower-middle income,32.23,72.656,3689099,26.077,73.923
Sweden,SWE,2009,7.265977383,10.72530842,0.902532995,71.16000366,0.864004612,0.217359006,0.292112172,SWE,100,27.33616412,-0.494460544,93.21914673,58.41995842,46.74330139,94.74359131,99.90296173,99.48973083,12.7760176,0.4,100,8.7,8,High income,91,81.35121951,9298515,15.098,84.902
Switzerland,CHE,2009,7.524520874,11.07792377,0.938339293,71.33999634,0.891277194,0.118853927,0.342427015,CHE,100,35.30680268,-0.480481936,96.10912323,55.5442233,19.97310066,102.3040619,102.8344421,95.60131073,12.7760176,0,100,3.8,4.5,High income,81.3,82.04390244,7743831,26.419,73.581
